NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVE_AM,PCT_ASIAN,PCT_HAWAIIAN_PI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,BUILT_2005_OR_LATER,BUILT_2000_2004,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,NATIVE_BORN,FOREIGN_BORN_FB,PCT_IN_POVERTY,PCT_FAM_POVERTY,SHAPE_Length,SHAPE_Area
Goldsmith,5009.0,1212.0,2732.0,767.0,0.0,177.0,0.0,90.0,31.0,24.2,54.54,15.31,0.0,3.53,0.0,1.8,0.62,2593.0,2416.0,344.0,96.0,125.0,111.0,440.0,433.0,1042.0,711.0,757.0,528.0,473.0,276.0,349.0,676.0,876.0,13.5,17.49,4727.0,689.0,74.0,17.0,67.0,49.0,192.0,278.0,12.0,4038.0,2377.0,385.0,1435.0,221.0,274.0,62.0,3542.0,417.0,1244.0,1109.0,772.0,2950.0,2586.0,364.0,733.0,1853.0,2586.0,1059.0,744.0,315.0,159.0,156.0,1527.0,1323.0,204.0,545.0,158.0,261.0,243.0,206.0,266.0,76.0,147.0,91.0,159.0,77.0,134.0,140.0,18.0,52.0,13.0,20809.0,37060.0,46551.0,0.0,19.0,76.0,159.0,1432.0,1039.0,153.0,59.0,13.0,4124.0,885.0,28.83,25.87,0.110966494506,0.000210293498936
Virginia Village,13231.0,2474.0,9107.0,728.0,93.0,433.0,87.0,26.0,283.0,18.7,68.83,5.5,0.7,3.27,0.66,0.2,2.14,7152.0,6079.0,853.0,849.0,671.0,219.0,1702.0,1053.0,2554.0,2182.0,1651.0,1798.0,1012.0,794.0,485.0,2592.0,1743.0,19.59,13.17,12649.0,2623.0,150.0,181.0,650.0,375.0,462.0,524.0,281.0,10026.0,6441.0,1092.0,3059.0,1509.0,368.0,413.0,9338.0,961.0,2135.0,2419.0,3823.0,6684.0,6184.0,500.0,2849.0,3335.0,6184.0,3050.0,2154.0,896.0,402.0,494.0,3134.0,2605.0,529.0,623.0,438.0,400.0,396.0,565.0,436.0,218.0,399.0,363.0,556.0,418.0,569.0,419.0,211.0,137.0,36.0,24290.0,50248.0,61696.0,18.0,112.0,100.0,333.0,1389.0,1886.0,2420.0,262.0,164.0,10376.0,2855.0,20.08,16.85,0.128604708534,0.000528265844431
Gateway / Green Valley Ranch,26695.0,9311.0,6858.0,7763.0,43.0,1668.0,145.0,11.0,896.0,34.88,25.69,29.08,0.16,6.25,0.54,0.04,3.36,12700.0,13995.0,2704.0,2749.0,2179.0,1082.0,5453.0,3810.0,3765.0,5538.0,3827.0,2654.0,1159.0,449.0,40.0,8714.0,838.0,32.64,3.14,25104.0,8000.0,440.0,572.0,2252.0,1494.0,1371.0,1438.0,433.0,17104.0,13558.0,2004.0,5423.0,3791.0,1398.0,942.0,15902.0,2600.0,3675.0,5593.0,4034.0,9940.0,9348.0,592.0,6638.0,2710.0,9348.0,6673.0,4669.0,2004.0,528.0,1476.0,2675.0,2013.0,662.0,221.0,289.0,224.0,340.0,586.0,435.0,550.0,599.0,408.0,1162.0,1260.0,1666.0,941.0,260.0,284.0,123.0,23762.0,66469.0,68649.0,1320.0,4560.0,2522.0,1183.0,214.0,91.0,12.0,0.0,38.0,21141.0,5554.0,8.88,8.24,0.216272641916,0.00200481577453
DIA,1251.0,297.0,373.0,570.0,0.0,11.0,0.0,0.0,0.0,23.74,29.82,45.56,0.0,0.88,0.0,0.0,0.0,532.0,719.0,210.0,119.0,69.0,51.0,329.0,192.0,268.0,156.0,132.0,81.0,65.0,28.0,0.0,449.0,37.0,35.89,2.96,1069.0,388.0,0.0,0.0,134.0,54.0,123.0,55.0,22.0,681.0,539.0,105.0,265.0,139.0,23.0,7.0,648.0,63.0,236.0,270.0,79.0,508.0,487.0,21.0,333.0,154.0,487.0,324.0,168.0,156.0,0.0,156.0,163.0,163.0,0.0,15.0,28.0,51.0,41.0,0.0,44.0,32.0,37.0,117.0,42.0,29.0,29.0,14.0,8.0,0.0,0.0,17044.0,43297.0,46962.0,240.0,201.0,15.0,0.0,0.0,0.0,43.0,0.0,9.0,1183.0,68.0,11.67,8.33,0.632611602913,0.0114540775638
University Hills,5574.0,539.0,4377.0,454.0,0.0,38.0,0.0,0.0,166.0,9.67,78.53,8.14,0.0,0.68,0.0,0.0,2.98,2480.0,3094.0,289.0,194.0,129.0,204.0,483.0,477.0,668.0,873.0,850.0,839.0,393.0,290.0,701.0,816.0,1170.0,14.64,20.99,5343.0,923.0,47.0,28.0,128.0,105.0,281.0,242.0,92.0,4420.0,2667.0,727.0,1166.0,427.0,231.0,116.0,4312.0,404.0,967.0,1143.0,1798.0,2681.0,2472.0,209.0,1751.0,721.0,2472.0,1309.0,995.0,314.0,83.0,231.0,1163.0,872.0,291.0,109.0,88.0,94.0,188.0,178.0,177.0,177.0,93.0,68.0,257.0,254.0,241.0,185.0,116.0,113.0,134.0,34135.0,72900.0,88861.0,45.0,53.0,73.0,99.0,221.0,270.0,1804.0,109.0,7.0,5241.0,333.0,6.53,4.81,0.11573638517,0.000394573675666
Harvey Park,11751.0,7197.0,3793.0,8.0,165.0,247.0,0.0,66.0,275.0,61.25,32.28,0.07,1.4,2.1,0.0,0.56,2.34,5720.0,6031.0,780.0,896.0,1096.0,704.0,1676.0,2122.0,1483.0,1725.0,1689.0,1476.0,699.0,540.0,341.0,3476.0,1207.0,29.58,10.27,11313.0,3317.0,203.0,151.0,757.0,911.0,810.0,426.0,59.0,7996.0,5053.0,848.0,1815.0,1669.0,330.0,391.0,7179.0,2165.0,2183.0,1633.0,1198.0,4340.0,4094.0,246.0,2738.0,1356.0,4094.0,2701.0,1860.0,841.0,280.0,561.0,1393.0,1054.0,339.0,139.0,229.0,327.0,157.0,311.0,266.0,136.0,217.0,153.0,653.0,620.0,511.0,204.0,43.0,71.0,57.0,20038.0,56124.0,57860.0,18.0,66.0,18.0,78.0,313.0,827.0,2630.0,367.0,23.0,8995.0,2756.0,12.44,11.92,0.105363909453,0.000458317879486
Mar Lee,12568.0,9036.0,2954.0,74.0,12.0,441.0,0.0,10.0,41.0,71.9,23.5,0.59,0.1,3.51,0.0,0.08,0.33,6428.0,6140.0,1099.0,857.0,1102.0,659.0,1956.0,1991.0,2196.0,1662.0,1775.0,1300.0,872.0,285.0,531.0,3717.0,1240.0,29.58,9.87,11881.0,2962.0,200.0,180.0,700.0,842.0,804.0,219.0,17.0,8919.0,5012.0,1034.0,1952.0,1230.0,566.0,230.0,7413.0,2863.0,2425.0,1448.0,677.0,4257.0,3911.0,346.0,2665.0,1246.0,3911.0,2783.0,1715.0,1068.0,393.0,675.0,1128.0,924.0,204.0,218.0,160.0,359.0,300.0,336.0,208.0,346.0,178.0,183.0,345.0,395.0,703.0,109.0,42.0,23.0,6.0,16085.0,49014.0,48756.0,0.0,66.0,48.0,147.0,162.0,604.0,2962.0,164.0,104.0,8863.0,3705.0,22.68,17.57,0.085461973555,0.000409949739048
Westwood,14909.0,11361.0,2352.0,205.0,272.0,478.0,0.0,0.0,241.0,76.2,15.78,1.38,1.82,3.21,0.0,0.0,1.62,8281.0,6628.0,1410.0,2049.0,1121.0,720.0,3459.0,2253.0,2402.0,2217.0,2158.0,1061.0,659.0,338.0,362.0,5300.0,1020.0,35.55,6.84,14084.0,4366.0,295.0,412.0,1217.0,973.0,1051.0,393.0,25.0,9718.0,5892.0,874.0,2395.0,1798.0,356.0,469.0,8220.0,4632.0,2024.0,1294.0,270.0,4837.0,4389.0,448.0,2011.0,2378.0,4389.0,3290.0,2100.0,1190.0,397.0,793.0,1099.0,778.0,321.0,537.0,405.0,599.0,316.0,427.0,313.0,396.0,274.0,190.0,280.0,282.0,189.0,104.0,35.0,29.0,13.0,11315.0,36276.0,35617.0,69.0,341.0,344.0,256.0,333.0,392.0,1544.0,826.0,732.0,8952.0,5957.0,38.98,35.47,0.08548747729,0.000407108757963
Washington Virginia Vale,12137.0,1253.0,8254.0,1604.0,0.0,844.0,0.0,108.0,74.0,10.32,68.01,13.22,0.0,6.95,0.0,0.89,0.61,5825.0,6312.0,519.0,359.0,367.0,299.0,878.0,774.0,2671.0,2296.0,1238.0,1561.0,1123.0,740.0,856.0,1544.0,2115.0,12.72,17.43,11830.0,2166.0,119.0,37.0,292.0,341.0,341.0,674.0,362.0,9664.0,6212.0,1056.0,3119.0,1200.0,653.0,184.0,9670.0,578.0,2235.0,2258.0,4599.0,7118.0,6779.0,339.0,2794.0,3985.0,6779.0,2522.0,1816.0,706.0,133.0,573.0,4257.0,3555.0,702.0,970.0,522.0,583.0,427.0,493.0,304.0,392.0,260.0,366.0,553.0,430.0,647.0,332.0,96.0,146.0,258.0,30901.0,53464.0,70035.0,25.0,187.0,330.0,858.0,2577.0,1635.0,1282.0,93.0,131.0,9517.0,2620.0,17.4,16.1,0.131459265537,0.000497447294228
Barnum,5687.0,4462.0,924.0,172.0,0.0,56.0,0.0,41.0,32.0,78.46,16.25,3.02,0.0,0.98,0.0,0.72,0.56,3016.0,2671.0,402.0,444.0,489.0,350.0,846.0,1124.0,958.0,751.0,908.0,444.0,402.0,124.0,130.0,1685.0,346.0,29.63,6.08,5528.0,1576.0,123.0,72.0,347.0,403.0,452.0,179.0,0.0,3952.0,2613.0,583.0,996.0,685.0,268.0,81.0,3299.0,1542.0,957.0,627.0,173.0,1933.0,1747.0,186.0,1008.0,739.0,1747.0,1252.0,867.0,385.0,180.0,205.0,495.0,358.0,137.0,155.0,217.0,153.0,103.0,156.0,124.0,124.0,72.0,99.0,143.0,185.0,118.0,44.0,0.0,9.0,45.0,13836.0,43325.0,44850.0,0.0,89.0,30.0,75.0,92.0,219.0,479.0,252.0,697.0,3636.0,2051.0,29.93,32.43,0.0580252226122,0.000209891808976
